category,situation,prompt,response_a,response_b,human_choice
Nonverbal Communication,Comforting someone,My roommate is upset and I want to comfort them without words getting in the way.,"Sit close, keep an open posture, and let your presence show support.",Talk continuously to fill the silence.,0
Workplace Communication,Sensitive topic,I need to bring up a sensitive topic with my close friend at work.,Choose a private setting and lead with the specific concern.,Bring it up casually in a group setting to soften it.,0
Conflict Resolution,Boundary crossed,My neighbor crossed a line I hadn't clearly stated before.,Explain the boundary clearly now and how you'd like things to go forward.,Stay upset internally but not bring it up since you hadn't said it before.,0
Handling Criticism,Manager feedback,My team lead gave me critical feedback on something I worked hard on.,Thank them for the feedback and ask a specific question about improving.,Explain the reasons behind your choices before agreeing to change anything.,0
Nonverbal Communication,Job interview,I have an interview with my team lead and want to make a good impression.,Focus mainly on what to say and not worry about body language.,"Make steady eye contact and sit with an open, relaxed posture.",1
Active Listening,Feedback session,My neighbor is giving me feedback I didn't expect.,"Listen fully before responding, even if you want to explain yourself.",Explain your reasoning as soon as a point doesn't sit right with you.,0
Nonverbal Communication,Video call presence,I'm on a lot of video calls with my neighbor and want to seem more engaged.,Keep your camera off so you can focus without distraction.,Look at the camera when speaking and nod occasionally.,1
Starting Conversations,Event mingling,I'm at an event where my roommate is and I want to start a conversation.,Stand near them and wait until they start talking to you.,"Comment on something shared in the moment, like the event itself.",1
Active Listening,Upset call,My old friend calls me upset and I'm not sure what to say.,Offer solutions quickly so the problem feels handled.,Let them talk it out and ask what happened next instead of jumping to solutions.,1
Making Friends,New city,I moved somewhere new and want to build a friendship with my mentor.,Suggest a regular low-key activity together so contact becomes natural.,Attend as many one-off events with them as possible.,0
Active Listening,Instructions,My close friend is giving me instructions I need to follow exactly.,Start right away and ask questions only if something goes wrong.,Repeat the instructions back to confirm before starting.,1
Making Friends,After a favor,My coworker recently helped me out and I want to build on that.,Assume the favor already made you close and act accordingly.,Thank them specifically and suggest returning the favor sometime.,1
Empathy,Visible stress,My roommate seems overwhelmed but hasn't said anything.,Ask privately how they're doing and mention what you've noticed.,Offer to take over their tasks without asking first.,0
Starting Conversations,Online intro,I want to message my roommate online for the first time without it feeling weird.,Reference something specific you have in common before asking a question.,Send a long message explaining exactly why you're reaching out.,0
Workplace Communication,Asking for more,I want to ask my new employee for a raise or more responsibility.,Schedule a dedicated conversation with specific examples ready.,Mention it casually in passing to keep things low-pressure.,0
Assertiveness,Unreasonable request,My neighbor asks for something that isn't reasonable given the timeline.,Agree to the timeline and rush to make it work anyway.,Explain what's realistic and propose an alternative timeline.,1
Conflict Resolution,Team disagreement,My cousin and I disagree strongly about how to approach something.,Let whoever has more experience decide since they're likely right.,Ask them to explain their reasoning and look for common ground.,1
Empathy,Bad day,My old friend is clearly having a bad day but hasn't explained why.,Give them space entirely so they can process it alone.,Check in gently and let them share as much or as little as they want.,1
Setting Boundaries,Financial boundary,My cousin asks to borrow money more often than feels comfortable.,Lend it each time to avoid an uncomfortable conversation.,Set a clear limit and explain it kindly.,1
Nonverbal Communication,Tone mismatch,My team lead says they're fine but their tone suggests otherwise.,Take their words at face value and move on.,Gently note the mismatch and ask if they want to talk about it.,1
Public Speaking,Q&A nerves,I'm worried about freezing up during questions from my roommate.,Answer as quickly as possible to avoid an awkward silence.,"Take a breath, repeat the question in your own words, then answer.",1
Active Listening,Instructions,My mentor is giving me instructions I need to follow exactly.,Start right away and ask questions only if something goes wrong.,Repeat the instructions back to confirm before starting.,1
Nonverbal Communication,Comforting someone,My old friend is upset and I want to comfort them without words getting in the way.,"Sit close, keep an open posture, and let your presence show support.",Talk continuously to fill the silence.,0
Conflict Resolution,Repeated issue,My neighbor and I keep having the same argument about the same thing.,Bring up every past instance to show the pattern clearly.,Sit down outside the heated moment and agree on a clear plan.,1
Handling Criticism,Friend's honest opinion,My manager told me honestly they didn't like something I made.,Assume they just don't understand what you were going for.,Ask what specifically didn't work for them.,1
Teamwork,Uneven workload,My team lead isn't doing their share of the work.,Talk to them privately about specific tasks and ask what's going on.,Quietly redo their part yourself so the project doesn't suffer.,0
Assertiveness,Repeated lateness,My study partner is consistently late when we meet.,Mention it directly and ask if a different time would work better.,Start showing up late yourself so it feels even.,0
Nonverbal Communication,Physical distance,My old friend seems to keep more physical distance than usual.,Respect the space and let them close the distance if they want to.,Move closer to make the conversation feel warmer.,0
Teamwork,Decision paralysis,My study partner and the team can't decide on next steps.,Wait for someone else to take the lead on deciding.,Propose a clear deadline for the decision and a simple way to choose.,1
Starting Conversations,Waiting room,I'm sitting next to my classmate in a waiting room and want to talk.,"Make an easy comment about the wait, then see if they want to keep talking.",Ask them several personal questions to fill the time.,0
Starting Conversations,Party small talk,I don't know what to say to my cousin at a party.,Ask what brought them there and follow their lead from there.,Talk mainly about your own week so they get to know you.,0
Assertiveness,Uncomfortable joke,My neighbor makes a joke at my expense that bothers me.,Laugh along so it doesn't seem like a big deal.,"Let them know directly, without making it a bigger issue than needed.",1
Making Friends,After a favor,My new employee recently helped me out and I want to build on that.,Assume the favor already made you close and act accordingly.,Thank them specifically and suggest returning the favor sometime.,1
Setting Boundaries,Repeated favors,My sibling keeps asking for the same favor without offering anything back.,Mention the pattern directly and see if something can change.,Keep helping without saying anything about the imbalance.,0
Workplace Communication,Giving feedback up,"I need to give feedback to my close friend, who is more senior than me.",Frame it around impact and ask if they're open to a suggestion.,Wait for them to ask for feedback before offering any.,0
Starting Conversations,Meeting new people,I'm new to a group with my classmate and don't know how to start talking.,"Start with a simple question about what's going on around you, then build on their answer.",Wait for someone to notice you're new and approach you first.,0
Empathy,Fear of change,My team lead is scared about an upcoming change in their life.,Tell them there's nothing to worry about and it'll be fine.,Ask what specifically worries them before offering reassurance.,1
Nonverbal Communication,Tone mismatch,My old friend says they're fine but their tone suggests otherwise.,Take their words at face value and move on.,Gently note the mismatch and ask if they want to talk about it.,1
Empathy,Comparing struggles,My sibling is struggling with something I've been through myself.,Share your own story in detail since it might help them relate.,Focus on their specific experience rather than comparing to your own.,1
Starting Conversations,Event mingling,I'm at an event where my classmate is and I want to start a conversation.,"Comment on something shared in the moment, like the event itself.",Stand near them and wait until they start talking to you.,0
Handling Criticism,Friend's honest opinion,My study partner told me honestly they didn't like something I made.,Ask what specifically didn't work for them.,Assume they just don't understand what you were going for.,0
Public Speaking,Status update,I need to give my manager a short status update on my work.,"Lead with the headline result, then add detail only if asked.",Walk through the process step by step in the order it happened.,0
Empathy,Bad day,My close friend is clearly having a bad day but hasn't explained why.,Give them space entirely so they can process it alone.,Check in gently and let them share as much or as little as they want.,1
Empathy,Financial stress,My mentor hints at financial stress without saying it outright.,Let them bring it up fully in their own time rather than pressing.,Offer money right away to solve the problem quickly.,0
Starting Conversations,Reconnecting casually,I ran into my mentor after a long time and don't know how to start talking again.,Apologize for being out of touch before saying anything else.,Mention something specific you remember about them before asking what's new.,1
Starting Conversations,First meeting,I'm about to meet my old friend for the first time and I'm nervous about the opener.,Prepare a detailed introduction covering your background so nothing is left out.,"Prepare one simple, genuine question rather than a rehearsed line.",1
Empathy,Financial stress,My old friend hints at financial stress without saying it outright.,Offer money right away to solve the problem quickly.,Let them bring it up fully in their own time rather than pressing.,1
Public Speaking,Feedback after talk,My sibling gives me feedback on a talk I just gave.,Explain the choices you made before hearing them out fully.,Ask what specifically landed and what didn't.,1
Starting Conversations,Group setting,I want to join a conversation my close friend is already having with others.,"Listen for a moment, then add something relevant to what's being said.",Wait for a full pause before jumping in with a new topic.,0
Assertiveness,Disrespected opinion,My old friend dismisses my opinion in front of others.,"Stay quiet in the moment and bring it up much later, if at all.",Restate your point calmly and ask to be heard fully.,1
Empathy,Difficult decision,My mentor is torn over a difficult decision.,Tell them clearly what you think they should do.,Ask questions that help them think it through rather than telling them what to do.,1
Setting Boundaries,Personal questions,My teammate keeps asking about my personal life in ways that feel intrusive.,Answer fully each time so you don't seem unfriendly.,Politely redirect the conversation and keep answers brief.,1
Setting Boundaries,Social media boundary,My neighbor tags or posts about me in ways I'm not comfortable with.,Untag yourself quietly each time without saying anything.,Ask them directly to check with you before posting about you.,1
Nonverbal Communication,Comforting someone,My coworker is upset and I want to comfort them without words getting in the way.,"Sit close, keep an open posture, and let your presence show support.",Talk continuously to fill the silence.,0
Empathy,Setback,My neighbor didn't get something they really wanted.,Let them express disappointment without rushing to the positives.,Remind them of other good things going on to help them feel better.,0
Workplace Communication,Requesting time off,I need to ask my old friend for time off during a busy period.,Give as much notice as possible and offer a coverage plan.,Ask at the last minute and let them figure out coverage.,0
Workplace Communication,Requesting time off,I need to ask my roommate for time off during a busy period.,Ask at the last minute and let them figure out coverage.,Give as much notice as possible and offer a coverage plan.,1
Public Speaking,Toast or speech,I have to give a toast or speech in front of my cousin and don't know where to start.,Include as many jokes and stories as possible.,"Pick one specific, genuine memory and build the speech around it.",1
Assertiveness,Speaking up in group,I disagree with the direction my mentor and the group are taking.,Stay quiet since the group already seems to agree.,"Voice your concern clearly once, with your reasoning.",1
Public Speaking,Pitching an idea,I'm pitching an idea to my close friend and want it to land well.,Open with the problem and why it matters before the solution.,Open with every detail of the solution so nothing is missed.,0
Conflict Resolution,Team disagreement,My sibling and I disagree strongly about how to approach something.,Ask them to explain their reasoning and look for common ground.,Let whoever has more experience decide since they're likely right.,0
Nonverbal Communication,Tone mismatch,My classmate says they're fine but their tone suggests otherwise.,Gently note the mismatch and ask if they want to talk about it.,Take their words at face value and move on.,0
Public Speaking,Speaking to a large group,I'm nervous speaking to a room that includes my mentor and many others.,Pick one or two friendly faces in the room to speak toward.,Avoid eye contact so you don't get more nervous.,0
Nonverbal Communication,Job interview,I have an interview with my roommate and want to make a good impression.,"Make steady eye contact and sit with an open, relaxed posture.",Focus mainly on what to say and not worry about body language.,0
Handling Criticism,Vague criticism,My close friend gives criticism that's vague and hard to act on.,Guess at what they meant and adjust based on that guess.,Ask for a specific example to understand what they mean.,1
Empathy,Setback,My classmate didn't get something they really wanted.,Remind them of other good things going on to help them feel better.,Let them express disappointment without rushing to the positives.,1
Workplace Communication,Difficult email,I need to email my study partner about a mistake that affected me.,Cc other people right away so the issue is taken seriously.,State the issue factually and propose next steps.,1
Nonverbal Communication,Distracted listener,My teammate seems distracted while I'm talking to them.,Keep talking at the same pace regardless.,Pause briefly and check in before continuing.,1
Making Friends,Mutual friend,"I want to become friends with my cousin, who I met through someone else.",Wait until the mutual friend brings you together again.,Reach out directly instead of relying on the mutual friend to connect you.,1
Assertiveness,Uncomfortable joke,My sibling makes a joke at my expense that bothers me.,Laugh along so it doesn't seem like a big deal.,"Let them know directly, without making it a bigger issue than needed.",1
Making Friends,Reconnecting,I lost touch with my old friend and want to reconnect naturally.,"Send a short, warm message referencing a specific good memory.",Call them and explain in detail why you drifted apart.,0
Handling Criticism,Manager feedback,My cousin gave me critical feedback on something I worked hard on.,Explain the reasons behind your choices before agreeing to change anything.,Thank them for the feedback and ask a specific question about improving.,1
Nonverbal Communication,Tense meeting,My sibling seems tense during a meeting and it's affecting the room.,Match their tense energy so the seriousness is clear.,Keep your own tone calm and open to help ease the tension.,1
Setting Boundaries,Emotional labor,My classmate relies on me a lot for emotional support.,Support them within limits and encourage other resources too.,Keep absorbing it all so they don't feel unsupported.,0
Active Listening,Upset call,My classmate calls me upset and I'm not sure what to say.,Offer solutions quickly so the problem feels handled.,Let them talk it out and ask what happened next instead of jumping to solutions.,1
Teamwork,Conflicting styles,My neighbor works very differently from me and it's causing friction.,Talk openly about work styles and agree on a middle ground.,Adjust your own style completely to match theirs.,0
Conflict Resolution,Boundary crossed,My roommate crossed a line I hadn't clearly stated before.,Stay upset internally but not bring it up since you hadn't said it before.,Explain the boundary clearly now and how you'd like things to go forward.,1
Teamwork,New teammate,My sibling just joined the team and seems unsure of their role.,Check in directly and walk through how the team works.,Let them observe for a while so they can figure it out on their own.,0
Nonverbal Communication,Comforting someone,My mentor is upset and I want to comfort them without words getting in the way.,"Sit close, keep an open posture, and let your presence show support.",Talk continuously to fill the silence.,0
Making Friends,Long distance,My sibling moved away and I want to keep the friendship going.,"Set a simple regular way to stay in touch, like a monthly call.",Wait for them to reach out first since they moved.,0
Handling Criticism,Unsolicited critique,My coworker critiques something I didn't ask for feedback on.,Explain why their critique doesn't apply in this case.,Thank them briefly and decide later what's actually useful.,1
Conflict Resolution,Team disagreement,My roommate and I disagree strongly about how to approach something.,Let whoever has more experience decide since they're likely right.,Ask them to explain their reasoning and look for common ground.,1
Workplace Communication,Cross-team request,I need something from my classmate on another team that isn't their priority.,Follow up frequently until they get to it.,Explain clearly why it matters and ask what timeline works.,1
Starting Conversations,Awkward silence,There's an awkward silence with my study partner and I don't know what to say.,Ask an open question about something you both just experienced.,Fill the silence by talking about yourself until it feels less awkward.,0
Public Speaking,Losing the audience,I notice my manager and others checking their phones while I present.,"Pause, ask a quick question to re-engage the room, then continue.",Speak faster to get through the remaining content.,0
Conflict Resolution,Boundary crossed,My new employee crossed a line I hadn't clearly stated before.,Stay upset internally but not bring it up since you hadn't said it before.,Explain the boundary clearly now and how you'd like things to go forward.,1
Workplace Communication,Cross-team request,I need something from my manager on another team that isn't their priority.,Explain clearly why it matters and ask what timeline works.,Follow up frequently until they get to it.,0
Public Speaking,Speaking to a large group,I'm nervous speaking to a room that includes my close friend and many others.,Pick one or two friendly faces in the room to speak toward.,Avoid eye contact so you don't get more nervous.,0
Handling Criticism,Vague criticism,My roommate gives criticism that's vague and hard to act on.,Ask for a specific example to understand what they mean.,Guess at what they meant and adjust based on that guess.,0
Handling Criticism,Criticism of a decision,My coworker criticizes a decision I already made.,Explain in detail why the decision was the only reasonable option.,"Hear them out and note it for future decisions, even if it's done.",1
Active Listening,Important news,My old friend is telling me something important and I keep getting distracted.,Nod along while thinking about how you'll respond.,Repeat back the main point to make sure you understood it.,1
Starting Conversations,Party small talk,I don't know what to say to my close friend at a party.,Ask what brought them there and follow their lead from there.,Talk mainly about your own week so they get to know you.,0
Handling Criticism,Unsolicited critique,My mentor critiques something I didn't ask for feedback on.,Thank them briefly and decide later what's actually useful.,Explain why their critique doesn't apply in this case.,0
Empathy,Bad day,My teammate is clearly having a bad day but hasn't explained why.,Give them space entirely so they can process it alone.,Check in gently and let them share as much or as little as they want.,1
Setting Boundaries,Time boundary,My old friend tends to run long in conversations when I have limited time.,Let the conversation run long to avoid seeming rude.,Let them know upfront how much time you have.,1
Workplace Communication,Giving feedback up,"I need to give feedback to my classmate, who is more senior than me.",Wait for them to ask for feedback before offering any.,Frame it around impact and ask if they're open to a suggestion.,1
Active Listening,Instructions,My sibling is giving me instructions I need to follow exactly.,Repeat the instructions back to confirm before starting.,Start right away and ask questions only if something goes wrong.,0
Setting Boundaries,Emotional labor,My study partner relies on me a lot for emotional support.,Support them within limits and encourage other resources too.,Keep absorbing it all so they don't feel unsupported.,0
Active Listening,Feedback session,My team lead is giving me feedback I didn't expect.,Explain your reasoning as soon as a point doesn't sit right with you.,"Listen fully before responding, even if you want to explain yourself.",1
Public Speaking,Toast or speech,I have to give a toast or speech in front of my study partner and don't know where to start.,Include as many jokes and stories as possible.,"Pick one specific, genuine memory and build the speech around it.",1
Nonverbal Communication,Job interview,I have an interview with my teammate and want to make a good impression.,Focus mainly on what to say and not worry about body language.,"Make steady eye contact and sit with an open, relaxed posture.",1
Public Speaking,Losing the audience,I notice my old friend and others checking their phones while I present.,"Pause, ask a quick question to re-engage the room, then continue.",Speak faster to get through the remaining content.,0
Teamwork,Unequal recognition,My roommate gets recognized more than others despite similar effort.,Work harder to try to get noticed the same way.,Mention the imbalance to whoever leads recognition decisions.,1
Conflict Resolution,After an argument,I had an argument with my study partner and we haven't spoken since.,Wait for them to reach out first since they were more upset.,Reach out and acknowledge the disagreement directly.,1
Conflict Resolution,Team disagreement,My study partner and I disagree strongly about how to approach something.,Let whoever has more experience decide since they're likely right.,Ask them to explain their reasoning and look for common ground.,1
Starting Conversations,Reconnecting casually,I ran into my roommate after a long time and don't know how to start talking again.,Mention something specific you remember about them before asking what's new.,Apologize for being out of touch before saying anything else.,0
Starting Conversations,First meeting,I'm about to meet my mentor for the first time and I'm nervous about the opener.,Prepare a detailed introduction covering your background so nothing is left out.,"Prepare one simple, genuine question rather than a rehearsed line.",1
Handling Criticism,Criticism of a decision,My new employee criticizes a decision I already made.,Explain in detail why the decision was the only reasonable option.,"Hear them out and note it for future decisions, even if it's done.",1
Setting Boundaries,Space boundary,My cousin drops by unannounced more than I'd like.,Let it continue and just seem busy when they show up.,Ask them kindly to check in before coming over.,1
Setting Boundaries,Social media boundary,My roommate tags or posts about me in ways I'm not comfortable with.,Untag yourself quietly each time without saying anything.,Ask them directly to check with you before posting about you.,1
Active Listening,Casual catch-up,My teammate is catching me up on their week.,Wait for your turn to talk about your own week.,Ask a couple of specific follow-up questions to show you're engaged.,1
Assertiveness,Repeated lateness,My manager is consistently late when we meet.,Mention it directly and ask if a different time would work better.,Start showing up late yourself so it feels even.,0
Making Friends,Long distance,My roommate moved away and I want to keep the friendship going.,Wait for them to reach out first since they moved.,"Set a simple regular way to stay in touch, like a monthly call.",1
Setting Boundaries,Repeated favors,My old friend keeps asking for the same favor without offering anything back.,Mention the pattern directly and see if something can change.,Keep helping without saying anything about the imbalance.,0
Active Listening,Differing opinion,My old friend shares an opinion in discussion that's different from mine.,Ask them to explain more before sharing your own view.,Wait for a pause and then explain why your view is more accurate.,0
Conflict Resolution,After an argument,I had an argument with my old friend and we haven't spoken since.,Reach out and acknowledge the disagreement directly.,Wait for them to reach out first since they were more upset.,0
Conflict Resolution,Team disagreement,My coworker and I disagree strongly about how to approach something.,Let whoever has more experience decide since they're likely right.,Ask them to explain their reasoning and look for common ground.,1
Conflict Resolution,Broken promise,My cousin didn't follow through on something they promised.,Stop relying on them without saying anything about why.,"Mention it calmly and ask what happened, without assuming the worst.",1
Public Speaking,Speaking to a large group,I'm nervous speaking to a room that includes my manager and many others.,Avoid eye contact so you don't get more nervous.,Pick one or two friendly faces in the room to speak toward.,1
Setting Boundaries,Time boundary,My sibling tends to run long in conversations when I have limited time.,Let the conversation run long to avoid seeming rude.,Let them know upfront how much time you have.,1
Setting Boundaries,Family expectations,My team lead expects me at every gathering even when I'm exhausted.,Attend every one to avoid a difficult conversation.,Let them know in advance which ones you can make and why.,1
Empathy,Comparing struggles,My neighbor is struggling with something I've been through myself.,Focus on their specific experience rather than comparing to your own.,Share your own story in detail since it might help them relate.,0
Setting Boundaries,Personal questions,My cousin keeps asking about my personal life in ways that feel intrusive.,Answer fully each time so you don't seem unfriendly.,Politely redirect the conversation and keep answers brief.,1
Active Listening,Differing opinion,My mentor shares an opinion in discussion that's different from mine.,Ask them to explain more before sharing your own view.,Wait for a pause and then explain why your view is more accurate.,0
Handling Criticism,Unsolicited critique,My manager critiques something I didn't ask for feedback on.,Thank them briefly and decide later what's actually useful.,Explain why their critique doesn't apply in this case.,0
Starting Conversations,Event mingling,I'm at an event where my team lead is and I want to start a conversation.,Stand near them and wait until they start talking to you.,"Comment on something shared in the moment, like the event itself.",1
Assertiveness,Pressure to conform,My neighbor is pressuring me to do something I'm not comfortable with.,"Say directly that you're not comfortable with it, without over-explaining.",Go along with it this once to avoid seeming judgmental.,0
Making Friends,Quiet acquaintance,My roommate is quiet and seems like they'd be a good friend but rarely talks.,Approach them one-on-one and mention something specific you noticed.,Include them in bigger group activities and wait for them to open up.,0
Setting Boundaries,Overcommitted,My classmate keeps asking for favors that take up a lot of my time.,Keep saying yes so the relationship doesn't feel strained.,Say yes to what you can genuinely manage and be honest otherwise.,1
Teamwork,New teammate,My team lead just joined the team and seems unsure of their role.,Let them observe for a while so they can figure it out on their own.,Check in directly and walk through how the team works.,1
Handling Criticism,Manager feedback,My coworker gave me critical feedback on something I worked hard on.,Thank them for the feedback and ask a specific question about improving.,Explain the reasons behind your choices before agreeing to change anything.,0
Empathy,Fear of change,My coworker is scared about an upcoming change in their life.,Ask what specifically worries them before offering reassurance.,Tell them there's nothing to worry about and it'll be fine.,0
Workplace Communication,Giving feedback up,"I need to give feedback to my team lead, who is more senior than me.",Frame it around impact and ask if they're open to a suggestion.,Wait for them to ask for feedback before offering any.,0
Nonverbal Communication,Physical distance,My manager seems to keep more physical distance than usual.,Respect the space and let them close the distance if they want to.,Move closer to make the conversation feel warmer.,0
Workplace Communication,Disagreeing publicly,My team lead says something inaccurate in a meeting with others present.,Note it calmly in the meeting or follow up privately after.,Correct them firmly in front of everyone right away.,0
Making Friends,After a favor,My old friend recently helped me out and I want to build on that.,Thank them specifically and suggest returning the favor sometime.,Assume the favor already made you close and act accordingly.,0
Teamwork,Cross-functional friction,My mentor on another team isn't cooperating well with mine.,Set up a conversation to understand their constraints and priorities.,Escalate to management before trying to talk directly.,0
Teamwork,Unequal recognition,My sibling gets recognized more than others despite similar effort.,Work harder to try to get noticed the same way.,Mention the imbalance to whoever leads recognition decisions.,1
Assertiveness,Unreasonable request,My teammate asks for something that isn't reasonable given the timeline.,Agree to the timeline and rush to make it work anyway.,Explain what's realistic and propose an alternative timeline.,1
Workplace Communication,Sensitive topic,I need to bring up a sensitive topic with my teammate at work.,Choose a private setting and lead with the specific concern.,Bring it up casually in a group setting to soften it.,0
Assertiveness,Uncomfortable joke,My manager makes a joke at my expense that bothers me.,"Let them know directly, without making it a bigger issue than needed.",Laugh along so it doesn't seem like a big deal.,0
Making Friends,Awkward gap,There's been an awkward gap since I last talked to my new employee.,Reach out casually without over-explaining the gap.,Apologize extensively for not reaching out sooner.,0
Starting Conversations,New coworker,My classmate just joined and I want to introduce myself well.,Give them a long rundown of how everything works before they've settled in.,Introduce yourself briefly and ask one easy question about their first days.,1
Conflict Resolution,Team disagreement,My close friend and I disagree strongly about how to approach something.,Ask them to explain their reasoning and look for common ground.,Let whoever has more experience decide since they're likely right.,0
Assertiveness,Unreasonable request,My new employee asks for something that isn't reasonable given the timeline.,Explain what's realistic and propose an alternative timeline.,Agree to the timeline and rush to make it work anyway.,0
Assertiveness,Unreasonable request,My roommate asks for something that isn't reasonable given the timeline.,Explain what's realistic and propose an alternative timeline.,Agree to the timeline and rush to make it work anyway.,0
Handling Criticism,Group critique,My teammate criticizes my idea in front of the whole group.,Defend the idea strongly right there to save face.,Respond calmly in the moment and reflect on it more afterward.,1
Conflict Resolution,Money dispute,My teammate owes me money and hasn't brought it up.,"Bring it up directly but kindly, mentioning the specific amount.",Drop hints about it and hope they take the hint.,0
Teamwork,Decision paralysis,My sibling and the team can't decide on next steps.,Wait for someone else to take the lead on deciding.,Propose a clear deadline for the decision and a simple way to choose.,1
Conflict Resolution,Credit dispute,My manager took credit for part of my idea.,Bring it up publicly so others hear the correction at once.,Talk to them privately first and explain how it affected you.,1
Teamwork,Disagreeing on direction,My cousin and I can't agree on which idea to move forward with.,Suggest listing pros and cons together so the decision feels shared.,Go with whichever idea the more vocal person prefers.,0
Teamwork,Group decision fatigue,My teammate and the team keep re-deciding the same thing.,Suggest documenting the decision once it's made so it sticks.,Let the discussion happen again each time it comes up.,0
Nonverbal Communication,Crossed arms,My manager has their arms crossed and seems distant.,Soften your own body language and ask an open question.,Mirror their crossed arms so the conversation feels balanced.,0
Making Friends,Reconnecting,I lost touch with my teammate and want to reconnect naturally.,Call them and explain in detail why you drifted apart.,"Send a short, warm message referencing a specific good memory.",1
Empathy,Health scare,My manager just got concerning medical news.,Immediately research solutions and send them information.,Ask how they're feeling about it and what kind of support they want.,1
Workplace Communication,Sensitive topic,I need to bring up a sensitive topic with my neighbor at work.,Bring it up casually in a group setting to soften it.,Choose a private setting and lead with the specific concern.,1
Conflict Resolution,Miscommunication,My neighbor misunderstood something I said and got upset.,Assume it will blow over on its own without addressing it.,Clarify what you meant calmly and ask how they took it.,1
Nonverbal Communication,Group photo moment,I want to seem approachable to my teammate in a group setting.,Stand slightly apart so you don't seem like you're intruding.,Keep an open stance and make brief eye contact with people as they talk.,1
Public Speaking,Impromptu speaking,My neighbor asks me to say a few words with no preparation.,"Take a breath, pick one point, and keep it short.",Try to cover everything you can think of on the spot.,0
Starting Conversations,Waiting room,I'm sitting next to my neighbor in a waiting room and want to talk.,Ask them several personal questions to fill the time.,"Make an easy comment about the wait, then see if they want to keep talking.",1
Setting Boundaries,Borrowed items,My new employee borrows things and often returns them late or damaged.,Stop mentioning it and quietly avoid lending to them again.,Tell them directly what you need going forward.,1
Empathy,Health scare,My classmate just got concerning medical news.,Immediately research solutions and send them information.,Ask how they're feeling about it and what kind of support they want.,1
Empathy,Public embarrassment,My teammate did something embarrassing in front of others.,Pretend not to notice so they don't feel more embarrassed.,"Help them move past it with a light, kind comment.",1
Nonverbal Communication,Tense meeting,My roommate seems tense during a meeting and it's affecting the room.,Keep your own tone calm and open to help ease the tension.,Match their tense energy so the seriousness is clear.,0
Empathy,Bad day,My study partner is clearly having a bad day but hasn't explained why.,Give them space entirely so they can process it alone.,Check in gently and let them share as much or as little as they want.,1
Workplace Communication,Asking for more,I want to ask my sibling for a raise or more responsibility.,Mention it casually in passing to keep things low-pressure.,Schedule a dedicated conversation with specific examples ready.,1
Teamwork,Cross-functional friction,My study partner on another team isn't cooperating well with mine.,Escalate to management before trying to talk directly.,Set up a conversation to understand their constraints and priorities.,1
Active Listening,Instructions,My study partner is giving me instructions I need to follow exactly.,Start right away and ask questions only if something goes wrong.,Repeat the instructions back to confirm before starting.,1
Setting Boundaries,Personal questions,My study partner keeps asking about my personal life in ways that feel intrusive.,Politely redirect the conversation and keep answers brief.,Answer fully each time so you don't seem unfriendly.,0
Making Friends,New city,I moved somewhere new and want to build a friendship with my teammate.,Attend as many one-off events with them as possible.,Suggest a regular low-key activity together so contact becomes natural.,1
